City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
86,Busselton,-33.65,115.3333,50.09,71,28,8.52,AU,2021-06-06 16:27:52,scattered clouds
87,Vanavara,60.34,102.2797,36.75,66,1,5.7,RU,2021-06-06 16:27:54,clear sky
88,Alencon,48.4333,0.0833,70.59,56,71,6.26,FR,2021-06-06 16:27:55,broken clouds
89,Bosaso,11.2842,49.1816,91.83,48,2,1.43,SO,2021-06-06 16:27:56,clear sky
90,Hof,50.3167,11.9167,68.45,85,20,2.3,DE,2021-06-06 16:27:58,few clouds
91,Vaini,-21.2,-175.2,71.76,83,40,6.91,TO,2021-06-06 16:27:59,scattered clouds
92,Qaanaaq,77.484,-69.3632,39.74,84,84,4.65,GL,2021-06-06 16:28:00,broken clouds
93,Benjamin Aceval,-24.9667,-57.5667,69.94,60,75,8.75,PY,2021-06-06 16:28:03,broken clouds
94,Bow Island,49.8668,-111.3684,61.18,44,85,5.75,CA,2021-06-06 16:28:04,overcast clouds
95,Aklavik,68.2191,-135.0107,34.63,80,75,5.75,CA,2021-06-06 16:28:05,broken clouds
96,Miri,4.4148,114.0089,77.14,94,20,4.54,MY,2021-06-06 16:28:07,light rain
97,Ziro,27.6333,93.8333,57.43,98,96,0.25,IN,2021-06-06 16:28:08,overcast clouds
98,Ilulissat,69.2167,-51.1,39.22,81,20,5.75,GL,2021-06-06 16:28:09,few clouds
99,Eirunepe,-6.6603,-69.8736,76.8,88,100,0.87,BR,2021-06-06 16:28:11,overcast clouds
100,Mar Del Plata,-38.0023,-57.5575,57.99,62,20,4.0,AR,2021-06-06 16:28:12,few clouds
101,Lebu,-37.6167,-73.65,50.34,70,100,1.34,CL,2021-06-06 16:28:14,overcast clouds
102,Salym,60.0625,71.4789,53.24,88,96,5.21,RU,2021-06-06 16:28:16,overcast clouds
103,Kerema,-7.9631,145.7785,77.43,92,99,3.58,PG,2021-06-06 16:28:17,overcast clouds
104,Dawlatabad,36.4141,64.9053,96.51,14,0,9.17,AF,2021-06-06 16:28:18,clear sky
105,Singaraja,-8.112,115.0882,79.0,83,53,3.09,ID,2021-06-06 16:28:20,broken clouds
106,Malangwa,26.8568,85.5581,91.58,35,1,5.41,NP,2021-06-06 16:28:21,clear sky
107,Montemorelos,25.2,-99.8167,89.56,37,0,5.12,MX,2021-06-06 16:28:23,clear sky
108,Port Elizabeth,-33.918,25.5701,66.09,67,0,5.75,ZA,2021-06-06 16:27:55,clear sky
109,Saint-Augustin,51.226,-58.6502,58.33,37,4,10.85,CA,2021-06-06 16:28:25,clear sky
110,Skjervoy,70.0311,20.9714,51.8,67,78,10.33,NO,2021-06-06 16:28:26,light rain
111,Faanui,-16.4833,-151.75,80.56,72,2,11.88,PF,2021-06-06 16:28:28,clear sky
112,Yerbogachen,61.2767,108.0108,41.61,54,19,9.19,RU,2021-06-06 16:28:29,few clouds
