City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
223,Zhanakorgan,KZ,84.42,scattered clouds,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
227,Kahului,US,75.85,few clouds,20.8947,-156.47,Maui Seaside Hotel
229,Mahibadhoo,MV,83.17,clear sky,3.7833,72.9667,Omadhoo Inn
245,Tecoanapa,MX,86.72,overcast clouds,16.5167,-98.75,Hotel Manglares
246,Victoria,HK,82.45,few clouds,22.2855,114.1577,Mini Hotel Central
247,Cururupu,BR,85.98,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
249,Puri,IN,89.38,broken clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
250,Butaritari,KI,81.88,clear sky,3.0707,172.7902,Isles Sunset Lodge
255,Sao Gabriel Da Cachoeira,BR,84.0,scattered clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
258,Nuevitas,CU,89.04,broken clouds,21.5453,-77.2644,Hotel Caonaba
262,Namibe,AO,78.22,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
264,Vila Do Maio,CV,83.19,scattered clouds,15.1333,-23.2167,Hotel Marilu
271,Rach Gia,VN,78.75,overcast clouds,10.0167,105.0833,Nhà Hàng Hòa Giang
273,Huilong,CN,75.04,light rain,31.8111,121.655,Hilton Garden Inn Qidong
278,Fare,PF,80.46,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
280,Cayenne,GF,86.04,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
282,Arraial Do Cabo,BR,84.16,clear sky,-22.9661,-42.0278,Pousada Porto Praia
288,Barcelona,ES,80.19,few clouds,41.3888,2.159,Axel Hotel Barcelona
294,Mabaruma,GY,85.23,broken clouds,8.2,-59.7833,Monty Brooms Guest House
304,Lorengau,PG,79.61,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
305,Lethem,GY,87.39,scattered clouds,3.3803,-59.7968,Savannah Inn
309,Beckley,US,81.7,clear sky,37.7782,-81.1882,"Country Inn & Suites by Radisson, Beckley, WV"
312,Robstown,US,88.14,clear sky,27.7903,-97.6689,Days Inn by Wyndham Robstown
317,Gat,IL,77.81,clear sky,31.61,34.7642,OlusHome
319,Tual,ID,81.21,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
323,Sur,OM,85.71,clear sky,22.5667,59.5289,Sur Plaza Hotel
329,Sinnamary,GF,76.64,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
331,Bathsheba,BB,88.41,few clouds,13.2167,-59.5167,Atlantis Hotel
333,Namatanai,PG,78.98,light rain,-3.6667,152.4333,Seagulls Inn Namatani
334,Manado,ID,77.77,scattered clouds,1.487,124.8455,Aryaduta Hotel
341,Cotonou,BJ,85.98,few clouds,6.3654,2.4183,Novotel Cotonou Orisha
342,Heinola,FI,75.29,scattered clouds,61.2056,26.0381,Hotelli Valo
343,Kingman,US,86.52,clear sky,35.1894,-114.053,Rodeway Inn Kingman Route 66
344,Carupano,VE,81.95,overcast clouds,10.6678,-63.2585,Hotel La dorada
350,Evora,PT,85.14,clear sky,38.5667,-7.9,Hotel M'Ar de Ar Muralhas
351,Soyo,AO,82.45,broken clouds,-6.1349,12.3689,Hotel Mpampa
355,Guapiacu,BR,84.49,scattered clouds,-20.795,-49.2203,Chacara Rosa De Saron
357,Joinville,BR,81.1,few clouds,-26.3044,-48.8456,Mercure Joinville Prinz Hotel
362,Jieshou,CN,77.95,light rain,33.2634,115.3611,Vatica Jieshou City New Passenger Transport Center Hotel
365,Binzhou,CN,79.05,light rain,37.3667,118.0167,Hampton By Hilton Binzhou
366,Oranjestad,AW,85.95,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
371,Omboue,GA,78.55,overcast clouds,-1.5746,9.2618,Hotel Olako
374,Olot,ES,75.27,broken clouds,42.181,2.4901,Hotel Riu Fluvià
376,Pitimbu,BR,81.19,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
383,Jalu,LY,87.71,clear sky,29.0331,21.5482,صاحبة الفخامة
384,Laguna,US,84.04,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
386,Sanchor,IN,88.25,clear sky,24.7553,71.7722,Hotel Amar Palace & AC Restaurant
387,Biak,ID,75.61,overcast clouds,-0.9131,122.8766,Penginapan Kim
393,Santa Cruz Do Rio Pardo,BR,85.06,broken clouds,-22.8989,-49.6325,Hotel Os Galeguinhos
394,Dafeng,CN,76.39,clear sky,23.4517,108.5881,Shenglong Hotel
398,Ranong,TH,80.13,light rain,9.9658,98.6348,Tinidee Hotel@Ranong
400,Galle,LK,81.09,overcast clouds,6.0367,80.217,Amangalla
401,Morehead,US,82.83,broken clouds,37.2711,-87.1764,CCI Express Inn
402,Meulaboh,ID,76.21,light rain,4.1363,96.1285,Kost Pria
403,Puerto Escondido,MX,88.63,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
409,Vila Velha,BR,78.94,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
413,Macouria,GF,85.95,broken clouds,4.9167,-52.3667,Hôtel Le Dronmi
419,Mandal,IN,88.03,overcast clouds,25.45,74.5667,पीपी वाले हनुमान जी
421,Sabang,ID,83.28,overcast clouds,5.8933,95.3214,Hotel Citra
422,Mattru,SL,82.26,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
426,Port Blair,IN,84.11,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
427,Alice Town,BS,80.71,overcast clouds,25.7167,-79.3,Bimini Big Game Club Resort & Marina
430,Touros,BR,76.1,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
434,The Valley,AI,83.82,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
435,Mogadishu,SO,79.38,overcast clouds,2.0371,45.3438,Hotel Juba
442,Blonie,PL,75.99,few clouds,52.1985,20.6171,"Derby. Zajazd, restauracja"
451,Goderich,CA,85.03,overcast clouds,43.7501,-81.7165,Harmony Inn
457,Thunder Bay,CA,83.98,broken clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
